,City,Country,Date,Latitude,Longitutde,Temperature (F),Humidity (%),Cloudiness (%),Windiness(mph)
189,Chapais,CA,1586720998,49.78,-74.85,39.2,60,40,10.29
190,East London,ZA,1586720998,-33.02,27.91,66.51,64,0,16.89
191,Goderich,CA,1586720998,43.75,-81.72,56.62,66,98,12.88
192,Beneditinos,BR,1586720998,-5.45,-42.37,87.8,66,75,5.82
193,Derzhavīnsk,KZ,1586720998,51.1,66.32,43.72,56,0,8.1
194,Tuktoyaktuk,CA,1586720999,69.45,-133.04,15.8,78,40,8.05
195,Srbobran,RS,1586720999,45.55,19.8,54.68,41,21,6.8
196,Magistral'nyy,RU,1586720999,56.17,107.45,28.78,89,12,6.82
197,Dingle,PH,1586720999,11.0,122.67,76.21,77,0,2.17
198,Kisangani,CD,1586720999,0.52,25.2,70.54,86,100,1.21
199,That Phanom,TH,1586720999,16.94,104.71,70.0,67,100,11.81
200,Shizilu,CN,1586721000,35.17,118.83,41.63,60,0,3.65
201,Aykhal,RU,1586721000,66.0,111.5,33.8,64,80,8.95
202,Tongliao,CN,1586721000,43.61,122.27,46.13,44,0,5.53
203,Batemans Bay,AU,1586721000,-35.72,150.18,48.72,100,100,2.82
204,Hobyo,SO,1586721000,5.35,48.53,83.66,74,33,11.12
205,Berlevåg,NO,1586721000,70.86,29.09,24.8,79,40,17.22
206,Rocha,UY,1586721000,-34.48,-54.33,66.4,63,81,6.26
207,Jiwani,PK,1586721000,25.05,61.74,77.72,78,100,8.95
208,Kavieng,PG,1586721001,-2.57,150.8,83.71,72,100,2.37
209,Luganville,VU,1586721001,-15.53,167.17,73.4,94,40,5.84
210,Kesova Gora,RU,1586721001,57.58,37.29,34.59,77,97,10.29
211,Riyadh,SA,1586720968,24.69,46.72,77.0,31,20,11.41
212,Salalah,OM,1586721001,17.02,54.09,82.4,69,20,10.29
213,Luebo,CD,1586721001,-5.35,21.42,71.89,84,99,2.95
214,Kampong Chhnang,KH,1586721001,12.17,104.55,79.63,79,100,9.24
215,Saskylakh,RU,1586721002,71.92,114.08,7.61,93,99,21.43
216,Mwene-Ditu,CD,1586721002,-7.0,23.45,69.46,70,97,1.01
217,Pevek,RU,1586721002,69.7,170.31,7.81,90,54,11.97
218,Tyrma,RU,1586721002,50.08,132.17,34.84,73,0,1.61
219,Douglas,US,1586720797,41.3,-96.17,31.32,86,90,20.8
220,Saldanha,ZA,1586720498,-33.01,17.94,59.32,82,0,10.04
221,Wright,US,1586721003,45.18,-93.95,29.95,92,100,14.99
222,Taywarah,AF,1586721003,33.35,64.42,44.1,36,94,2.06
223,Kaitangata,NZ,1586721003,-46.28,169.85,46.0,80,99,3.0
224,San Rafael,AR,1586721003,-34.62,-68.33,65.98,42,100,10.47
225,Porosozero,RU,1586721003,62.72,32.73,35.82,90,100,15.68
226,Mehrān,IR,1586721003,33.12,46.16,50.0,71,40,2.24
227,Sorgun,TR,1586721003,39.81,35.19,36.64,51,0,4.47
228,Codrington,AU,1586721004,-38.27,141.97,51.03,81,72,7.4
229,Mina,MX,1586721004,26.0,-100.53,93.54,5,5,25.28
230,Payakumbuh,ID,1586721004,-0.22,100.63,69.15,76,100,1.83
231,Saint-François,FR,1586721004,46.42,3.91,59.4,36,100,10.29
232,Bafilo,TG,1586721005,9.35,1.27,83.28,33,15,3.87
233,Rawson,AR,1586721005,-43.3,-65.1,65.28,29,0,10.65
234,Daru,PG,1586721005,-9.08,143.21,79.09,86,64,6.69
235,Mīzan Teferī,ET,1586721005,6.98,35.58,63.21,65,82,3.11
236,Kupang,ID,1586721005,-10.17,123.58,79.93,81,100,5.17
237,Newry,GB,1586721005,54.18,-6.34,50.88,66,20,9.17
238,Turukhansk,RU,1586721005,65.82,87.98,34.65,96,100,7.78
239,Faya,SA,1586721006,18.39,42.45,63.5,88,20,10.29
240,Vao,NC,1586721006,-22.67,167.48,77.14,72,81,3.67
241,San Ramon,US,1586721006,37.78,-121.98,59.68,71,90,3.13
242,Muscat,OM,1586720781,23.61,58.59,84.2,70,92,4.7
243,Hull,GB,1586721007,53.74,-0.34,47.82,70,100,14.99
244,Manggar,ID,1586721007,-2.88,108.27,80.33,82,76,4.34
245,Alice Springs,AU,1586720829,-23.7,133.88,60.8,48,0,3.36
246,Coyhaique,CL,1586720923,-45.58,-72.07,54.73,58,75,5.82
247,Merauke,ID,1586721007,-8.47,140.33,76.59,92,100,8.39
248,Hīt,IQ,1586721007,33.64,42.83,67.93,34,40,3.53
249,Puerto Baquerizo Moreno,EC,1586721007,-0.9,-89.6,82.4,83,75,4.7
250,Tanete,ID,1586721007,-3.94,119.78,76.28,86,48,3.78
251,Korem,ET,1586721008,12.51,39.52,58.89,43,98,2.48
252,Tambacounda,SN,1586721008,13.75,-13.76,104.0,12,35,6.93
253,Muli,MV,1586721008,2.92,73.57,83.53,70,42,1.54
254,Shenzhen,CN,1586720189,22.55,114.07,62.62,39,71,13.42
255,Mattawa,US,1586721008,46.74,-119.9,53.76,24,1,3.36
256,Maxixe,MZ,1586720762,-23.86,35.35,78.8,41,0,16.11
257,Lucea,JM,1586721009,18.45,-78.17,85.78,70,20,25.28
258,Margate,GB,1586720995,51.38,1.39,57.47,76,92,3.36
259,Hay River,CA,1586721009,60.82,-115.8,17.6,57,75,6.93
260,Mareeba,AU,1586721009,-17.0,145.43,72.68,88,3,1.92
261,Lerwick,GB,1586721009,60.15,-1.15,37.4,55,91,19.46
262,Charleston,US,1586720783,32.78,-79.93,71.28,78,90,10.29
263,Comodoro Rivadavia,AR,1586720890,-45.87,-67.5,62.6,45,37,18.34
264,Aklavik,CA,1586721009,68.22,-135.01,33.01,43,20,6.93
265,Prainha,BR,1586721009,-1.8,-53.48,80.08,91,100,2.84
266,Nishihara,JP,1586721010,26.18,127.76,61.2,42,20,23.04
267,Niono,ML,1586721010,14.25,-5.99,88.21,31,61,10.71
268,Saint-Raymond,CA,1586720837,45.47,-73.61,56.55,49,90,14.99
269,Kez,RU,1586721010,57.9,53.72,35.69,88,100,8.01
270,San Patricio,MX,1586721010,19.22,-104.7,84.2,74,40,6.93
271,Rāzole,IN,1586721010,16.48,81.83,76.15,91,0,1.52
272,Oodweyne,SO,1586721010,9.41,45.06,80.49,36,14,6.67
273,Mezhova,UA,1586721011,48.25,36.73,39.49,60,0,4.59
274,Ust-Nera,RU,1586721011,64.57,143.2,22.68,88,97,2.04
275,Atar,MR,1586721011,20.52,-13.05,82.96,17,2,9.66
276,Avera,US,1586721011,33.19,-82.53,69.46,100,90,13.87
277,São João da Barra,BR,1586721011,-21.64,-41.05,75.2,73,75,9.17
278,Pokhara,NP,1586721011,28.23,83.98,64.9,19,14,5.73
279,Shimabara,JP,1586721011,32.78,130.37,49.44,76,97,23.47
280,North Platte,US,1586721011,41.12,-100.77,28.94,58,90,25.28
281,Geraldton,AU,1586721012,-28.77,114.6,70.7,83,44,8.05
282,Khovd,MN,1586721012,48.01,91.64,38.52,38,0,3.36
283,Grand Gaube,MU,1586721012,-20.01,57.66,78.93,74,75,14.99
284,Pangnirtung,CA,1586721012,66.15,-65.71,26.6,63,90,18.34
285,Wamba,NG,1586721012,8.93,8.6,81.79,29,88,1.66
286,Suratgarh,IN,1586721013,29.32,73.9,86.94,21,92,4.29
287,Alekseyevsk,RU,1586721013,57.84,108.35,29.05,94,0,4.81
288,Hondomachi-hondo,JP,1586721013,32.45,130.2,51.8,75,85,29.66
289,Liusha,CN,1586721013,27.21,108.59,44.78,63,99,1.66
290,Chokwé,MZ,1586721013,-24.53,32.98,77.92,45,0,7.07
291,Zhangjiakou,CN,1586721013,40.81,114.88,46.17,31,0,5.03
292,Masuguru,TZ,1586721013,-11.37,38.42,72.66,91,98,2.75
293,Khanbari,NP,1586721013,27.37,87.2,68.0,19,0,4.59
294,Sinazongwe,ZM,1586720832,-17.26,27.46,75.56,52,12,1.59
295,Mnogovershinnyy,RU,1586721014,53.94,139.92,25.57,90,73,2.48
296,Egvekinot,RU,1586721014,66.32,-179.17,19.78,85,58,1.34
297,Orapa,BW,1586721014,-21.28,25.37,79.09,26,96,4.14
298,Ust'-Kut,RU,1586721014,56.79,105.77,28.27,93,6,4.12
299,Bonavista,CA,1586721014,48.65,-53.11,44.01,58,2,8.99
300,Laas,IT,1586721014,46.62,10.7,53.67,49,40,2.24
301,Tromsø,NO,1586720802,69.65,18.96,28.4,86,75,13.87
302,Omboué,GA,1586721014,-1.57,9.26,77.56,77,23,2.3
303,Chui,UY,1586721015,-33.7,-53.46,65.84,71,44,9.98
304,Ust'-Shonosha,RU,1586721015,61.15,41.34,25.23,92,0,6.11
305,Pueblo,US,1586721015,38.25,-104.61,27.36,58,90,12.75
306,Dzhebariki-Khaya,RU,1586721015,62.22,135.8,26.26,97,97,4.36
307,Dwārka,IN,1586721015,22.24,68.97,80.24,73,0,17.52
308,Yeppoon,AU,1586721015,-23.13,150.73,68.0,77,2,6.93
309,Nouadhibou,MR,1586721015,20.93,-17.03,69.8,68,93,19.46
310,Brenham,US,1586720786,30.17,-96.4,83.8,48,1,13.87
311,Barrow,US,1586721016,71.29,-156.79,19.4,92,90,3.36
312,Chengzhong,CN,1586721016,30.95,113.55,50.0,93,0,1.97
313,Bayanday,RU,1586721016,53.07,105.51,30.49,73,0,1.48
314,Tigil',RU,1586721016,57.8,158.67,17.65,94,90,0.98
315,Khani,GE,1586721016,41.96,42.96,41.0,93,37,3.36
316,Hachinohe,JP,1586721016,40.5,141.5,40.78,80,75,8.05
317,Xichang,CN,1586721017,27.9,102.26,52.65,44,99,1.07
318,Pala,TD,1586721017,9.36,14.9,87.04,16,70,1.14
319,Tizimín,MX,1586721017,21.15,-88.15,98.6,25,40,17.22
320,Jalu,LY,1586721017,29.03,21.55,67.86,24,0,5.86
321,Boulder City,US,1586721017,35.98,-114.83,70.56,37,40,10.29
322,Golden Gate,US,1586720755,26.19,-81.7,92.89,55,1,18.34
323,Cayenne,GF,1586721017,4.93,-52.33,84.2,66,75,13.87
324,Hasaki,JP,1586721018,35.73,140.83,49.35,93,75,20.8
325,Kon Tum,VN,1586721018,14.35,108.0,69.01,76,100,3.65
326,Grindavik,IS,1586721018,63.84,-22.43,43.65,93,90,21.92
327,Yerbogachën,RU,1586721018,61.28,108.01,27.97,95,4,3.91
328,Castro Daire,PT,1586721018,40.9,-7.93,55.8,1,28,5.01
329,Moguer,ES,1586721018,37.28,-6.84,63.0,64,4,8.01
330,Inongo,CD,1586721018,-1.95,18.27,72.43,89,100,1.43
331,Roscrea,IE,1586721018,52.95,-7.8,48.36,79,100,4.0
332,Pampierstad,ZA,1586721019,-27.78,24.69,65.03,20,12,5.32
333,Băleni,RO,1586721019,45.82,27.83,50.43,45,0,13.13
334,Atamanskaya,RU,1586721019,46.18,39.64,38.01,74,0,6.49
335,Merrill,US,1586721019,45.18,-89.68,31.6,85,90,4.7
336,Līsakovsk,KZ,1586721019,52.54,62.49,42.33,64,2,8.46
337,Flinders,AU,1586721019,-34.58,150.86,50.49,76,100,8.05
338,Bouna,CI,1586721019,9.27,-3.0,86.54,37,36,6.15
339,Nuristan,AF,1586721002,35.3,70.83,31.91,31,100,2.91
340,Nanortalik,GL,1586721020,60.14,-45.24,33.06,93,52,20.49
341,Rudnya,RU,1586721020,54.95,31.09,46.4,31,40,6.71
342,Cedral,MX,1586721020,23.8,-100.73,86.18,6,23,28.45
343,Biłgoraj,PL,1586721020,50.54,22.72,55.4,37,0,5.82
344,Uyuni,BO,1586721020,-20.46,-66.83,57.06,8,0,14.2
345,Guilin,CN,1586721021,25.28,110.29,48.2,93,100,2.24
346,San Jose,US,1586720811,37.34,-121.89,58.51,63,90,4.7
347,Gamba,GA,1586721021,-2.65,10.0,80.28,77,100,2.98
348,Yārāda,IN,1586721021,17.65,83.27,80.6,73,0,9.8
349,Vostok,RU,1586721021,46.49,135.88,29.21,72,0,2.19
350,Ruteng,ID,1586721021,-8.61,120.47,64.49,75,81,1.3
351,Khandyga,RU,1586721021,62.67,135.6,21.25,96,63,3.8
352,Abalak,RU,1586721022,58.13,68.59,41.61,88,97,7.58
353,Bubaque,GW,1586721022,11.28,-15.83,78.98,75,16,15.64
354,Airai,TL,1586721022,-8.93,125.41,62.65,75,93,1.25
355,Plover,US,1586721022,44.46,-89.54,33.31,88,90,10.29
356,West Bay,KY,1586720841,19.37,-81.42,87.84,66,20,16.11
357,Poum,NC,1586721022,-20.23,164.02,78.93,75,100,7.99
358,Van Buren,US,1586721022,35.44,-94.35,68.9,77,40,4.7
359,Bowen,AU,1586721023,-20.02,148.23,73.15,94,90,4.7
360,Korčula,HR,1586721023,42.96,17.14,59.79,67,0,6.26
361,Fortuna,US,1586721023,40.6,-124.16,58.35,76,20,9.17
362,Río Gallegos,AR,1586721023,-51.62,-69.22,57.2,50,75,28.86
363,Kualakapuas,ID,1586721023,-3.01,114.39,77.0,100,76,3.36
364,Puerto Quijarro,BO,1586721023,-17.78,-57.77,86.63,53,19,2.55
365,Alofi,NU,1586721023,-19.06,-169.92,78.8,78,81,10.29
366,Kibre Mengist,ET,1586721024,5.88,38.98,61.7,59,78,1.28
367,Twentynine Palms,US,1586721024,34.14,-116.05,68.16,35,1,6.93
368,Mildura,AU,1586720725,-34.2,142.15,46.22,81,46,3.65
369,Markova,UA,1586721024,48.68,24.41,43.43,58,0,5.91
370,Hokitika,NZ,1586721024,-42.72,170.97,51.3,67,69,25.43
371,Oktyabr'skoye,RU,1586721024,43.06,44.74,33.69,66,96,4.18
372,Dolní Bousov,CZ,1586721024,50.44,15.13,55.78,33,0,6.93
373,Bodden Town,KY,1586721024,19.28,-81.25,87.71,66,20,16.11
